
[br01 BR New London 3.600000]
<跳跃>
BR Manchester: 3G (2.1, 1.4) (79978, -52343) jumpgate 
Br01_br_debris_eng_1: 3C (2.4, 2.1) (-53033, -47527) br_debris_eng 
Br01_br_debris_eng_2: 3C (2.4, 2.9) (-38244, -45927) br_debris_eng 
Br01_br_debris_eng_3: 3C (1.3, 1.8) (-57270, -67454) br_debris_eng 
Br01_br_debris_eng_4: 3C (1.2, 1.8) (-57258, -67510) br_debris_eng 
Br01_suprise_pi_fighter_molly: 5C (2.7, 1.7) (-58685, 29827) suprise_pi_fighter 
Br01_suprise_co_fighter_1: 4G (2.7, 1.3) (77397, -5728) suprise_co_fighter 
Br01_suprise_bw_fighter_1: 4C (1.1, 2.0) (-53923, -33534) suprise_bw_fighter 

[br02 BR Manchester 3.600000]
<跳跃>
BR New London: 4B (1.4, 2.9) (-74267, -28226) jumpgate 
IW Magellan: 4G (2.5, 2.0) (90389, -9412) jumpgate 
IW Cortez: 2F (2.9, 1.3) (41716, -74170) jumpgate 
BR Leeds: 3D (1.6, 2.4) (-10769, -61890) jumphole_red 
BR Newcastle: 3C (1.2, 2.8) (-39000, -69000) jumphole_light 
IW Magellan: 3F (2.6, 1.2) (39396, -43719) jumphole_red 
IW Coronado (Colonial Republic): 5D (1.3, 2.2) (-13665, 4590) jumphole_red 
<基地>
Br02_Sun: 5E (1.0, 1.0) (0, 0) sun_2000 
Br02_planet_Wight: 4D (1.3, 2.7) (-5844, -30797) planet_icemoon_2000 
Br02_planet_Jersey: 4E (2.5, 2.9) (34031, -8663) planet_ice_blue_2500 
Br02_01: 5E (2.7, 1.2) (3572, 30750) prison 
Br02_02: 4D (1.4, 2.8) (-2772, -29003) space_factory01 
Br02_mplatform_1: 4D (1.3, 2.9) (-2517, -29725) mplatform 
Br02_space_industrial02_1: 4D (1.3, 2.8) (-2770, -29980) space_industrial02 
Br02_dsy_shipyard_addon_01: 4D (1.3, 2.8) (-2922, -30082) dsy_shipyard_addon 
Br02_03: 4E (2.3, 2.9) (34643, -13224) smallstation1 
Br02_04: 4G (2.4, 2.0) (89221, -9974) space_police01 
Br02_05: 2F (3.0, 1.3) (40998, -72837) space_police01 
Br02_06: 3D (1.6, 1.2) (-33000, -61000) miningbase_ice_block 
BR19_01: 5C (2.0, 2.3) (-49000, 18000) outpost 
BR19_02: 5C (2.0, 2.2) (-51000, 18000) b_battleship 
Br02_Roid_Miner_1: 3D (2.1, 1.9) (-20642, -52347) Roid_Miner 
Br02_ast_solar_icecarbon_60_2: 3D (2.1, 1.9) (-20564, -52472) ast_solar_icecarbon_60 
Br02_Roid_Miner_2: 3D (2.1, 1.8) (-21614, -52090) Roid_Miner 
Br02_ast_solar_icecarbon_60_1: 3D (2.1, 1.8) (-21754, -52088) ast_solar_icecarbon_60 
Br02_nav_buoy_01: 5C (1.9, 2.2) (-50000, 16000) nav_buoy 
Br02_nav_buoy_02: 5C (1.8, 2.2) (-50000, 15000) nav_buoy 
Br02_nav_buoy_03: 5C (1.8, 2.2) (-50000, 14000) nav_buoy 
Br02_nav_buoy_04: 5C (1.7, 2.2) (-50000, 13000) nav_buoy 
Br02_nav_buoy_05: 5C (1.7, 2.2) (-50000, 12000) nav_buoy 
Br02_nav_buoy_1: 5E (2.6, 1.2) (4063, 29274) nav_buoy 
Br02_nav_buoy_2: 5E (2.6, 1.3) (4671, 29649) nav_buoy 
Br02_nav_buoy_3: 5E (2.6, 1.3) (5148, 28688) nav_buoy 
Br02_nav_buoy_4: 5E (2.6, 1.3) (4600, 28339) nav_buoy 
Br02_nav_buoy_5: 5E (2.5, 1.3) (5041, 27565) nav_buoy 
Br02_nav_buoy_6: 5E (2.5, 1.3) (5649, 27889) nav_buoy 
Br02_depot_boron_1: 4E (2.2, 2.9) (33798, -13537) depot_boron 
Br02_depot_hydrocarbons_3: 4E (2.2, 2.9) (33673, -13535) depot_hydrocarbons 
Br02_depot_optical_chips_1: 4E (2.2, 2.9) (33601, -13663) depot_optical_chips 
EW14_06: 3F (2.3, 2.9) (70218, -48136) ga_battleship 

[br03 BR Cambridge 1.200000]
<跳跃>
BR New London: 1? (1.4, 1.6) (-80688, -45603) jumpgate 
BW Omega-3: 3K (1.9, 2.2) (79443, -18370) jumpgate 
BR Poole (BR Police): 6> (2.2, 2.6) (-86500, 19000) jumpgate 
BR New London: 1A (1.1, 2.5) (-39265, -59385) jumphole_red 
BW Omega-3: -2G (2.6, 1.2) (25000, -86500) jumphole_light 
BW Omega-15: 5K (2.3, 2.3) (80000, 8000) jumphole_light 
BR Poole (BR Police): 8H (2.8, 2.0) (42152, 46565) jumphole_light 
<基地>
Br03_Sun: 5E (1.0, 1.0) (0, 0) sun_2000 
Br03_01: 8D (1.6, 1.1) (-11141, 39478) planet_earth_3000 
Br03_Ross_planetoid: 5H (2.6, 1.4) (38454, 9370) planet_ice_200 
Br03_planet_Sarum: 1E (1.7, 1.7) (3945, -43782) planet_gasblucld_3000 
Br03_dock_ring: 8D (1.2, 1.5) (-9073, 36967) dock_ring 
Br03_docking_fixture_1: 8D (1.2, 1.5) (-9035, 36918) docking_fixture 
Br03_02: 8D (1.6, 1.8) (-6909, 39325) space_factory01 
Br03_space_tanksx4_1: 8D (1.6, 1.8) (-6909, 39325) space_tanksx4 
Br03_space_habitat_wide_01: 8D (1.6, 1.8) (-7402, 39577) space_habitat_wide 
Br03_space_habitat_wide_02: 8D (1.5, 1.8) (-7402, 39073) space_habitat_wide 
Br03_space_tankl2_01: 8D (1.6, 1.7) (-7537, 39325) space_tankl2 
Br03_dsy_research_habitat_01: 8D (1.6, 1.8) (-7403, 39863) dsy_research_habitat 
Br03_03: 5H (2.4, 1.3) (37986, 8129) b_battleship 
Br03_04: 1E (2.5, 2.0) (6204, -39285) space_mining01 
Br03_dsy_plant_01: 1E (2.5, 2.0) (6204, -39128) dsy_plant 
Br03_05: 1J (2.9, 3.0) (71879, -36747) military_icebase1 
Br03_space_tankl2_02: 1J (2.9, 3.0) (71874, -36740) space_tankl2 
Br03_06: 4A (2.3, 2.5) (-51300, -4000) space_factory02 
BR17_01: 9G (1.6, 2.5) (33300, 51300) space_mining01 
BR17_01_tanksx4: 9G (1.6, 2.5) (33300, 51300) space_tanksx4 
BR17_01_solar_pnl_01: 9G (1.5, 2.5) (33233, 50925) space_solar_pnl 
BR17_01_solar_pnl_02: 9G (1.5, 2.6) (33366, 50925) space_solar_pnl 
Br03_telescope_1: 8D (1.9, 1.8) (-7295, 41351) telescope 
Br03_com_sat_1: 8D (1.4, 2.0) (-5767, 38302) com_sat 
Br03_com_sat_2: 7E (2.8, 1.0) (111, 34501) com_sat 
Br03_com_sat_3: 7E (2.1, 2.0) (5989, 30701) com_sat 
Br03_com_sat_4: 7E (1.5, 3.0) (11868, 26900) com_sat 
Br03_com_sat_5: 6F (2.8, 2.0) (17746, 23099) com_sat 
Br03_com_sat_6: 6F (2.2, 2.9) (23624, 19298) com_sat 
Br03_com_sat_7: 6G (1.6, 1.9) (29502, 15497) com_sat 
Br03_com_sat_8: 5G (2.9, 2.9) (35380, 11696) com_sat 
Br03_ast_icecrystal_largeA_1: 2I (2.6, 1.9) (53637, -26391) ast_icecrystal_largeA 
Br03_ast_icecrystal_largeA_2: 5I (2.0, 2.6) (57674, 5794) ast_icecrystal_largeA 
Br03_ast_icecrystal_largeB_1: 4K (2.1, 1.9) (77430, -5404) ast_icecrystal_largeB 
Br03_ast_icecrystal_largeA_3: 4K (1.9, 1.9) (77582, -6432) ast_icecrystal_largeA 
Br03_ast_icecrystal_largeB_2: 3J (1.2, 2.7) (70185, -22560) ast_icecrystal_largeB 
Br03_ast_icecrystal_largeB_3: 8H (2.6, 1.7) (40490, 45370) ast_icecrystal_largeB 
Br03_ast_icecrystal_largeB_4: 8H (2.4, 1.7) (40483, 44190) ast_icecrystal_largeB 
Br03_ast_icecrystal_largeA_4: 8F (2.3, 1.9) (17490, 43723) ast_icecrystal_largeA 
Br03_ast_icecrystal_largeA_5: 8G (2.0, 2.0) (30122, 41989) ast_icecrystal_largeA 
Br03_ast_icecrystal_largeA_6: 8H (1.1, 2.8) (46947, 36791) ast_icecrystal_largeA 
Br03_ast_icecrystal_largeA_7: 8H (1.1, 2.9) (47615, 36580) ast_icecrystal_largeA 
Br03_ast_icecrystal_largeA_8: 8I (1.1, 1.1) (48351, 36340) ast_icecrystal_largeA 
Br03_suprise_br_elite_01: 6J (1.1, 2.4) (68600, 12870) suprise_br_elite 
Br03_suprise_ge_armored_1: 7H (2.0, 2.3) (43680, 30171) suprise_ge_armored 
Br03_suprise_co_fighter_1: 10F (2.6, 2.7) (22105, 69587) suprise_co_fighter 

[br04 BR Leeds 3.600000]
<跳跃>
BR New London: 7E (2.0, 1.1) (1321, 89533) jumpgate_nodock 
BR Edinburgh: 5B (2.8, 2.0) (-89546, 31774) jumpgate 
BR Newcastle: 5G (2.2, 1.1) (73656, 21175) jumpgate_nodock 
BW Tau-31: 3F (1.1, 1.3) (40887, -69523) jumpgate 
BR New London: 6D (2.4, 1.4) (-29014, 60437) jumphole_red 
BR Manchester: 6F (2.5, 1.7) (49455, 62448) jumphole_red 
BR Dublin: 6C (1.8, 2.3) (-49464, 50285) jumphole_red 
BR Edinburgh: 3C (1.4, 2.3) (-48372, -64467) jumphole_red 
IW Magellan: 6E (1.8, 2.8) (33043, 50098) jumphole_orange 
<基地>
Br04_Sun: 5E (1.0, 1.0) (0, 0) sun_2000 
Br04_01: 6E (1.0, 1.9) (16369, 36660) planet_earthcity_3000 
Br04_planet_waterford: 3E (2.1, 2.5) (26746, -52173) planet_icemoon_1500 
Br04_01_dock_ring: 5E (3.0, 1.7) (13215, 35862) dock_ring 
Br04_01_docking_fixture: 5E (3.0, 1.7) (13159, 35847) docking_fixture 
Br04_02: 4F (1.9, 1.1) (37995, -19398) space_factory01 
Br04_stokes_mplatform_1: 4F (1.9, 1.1) (38487, -19937) mplatform 
Br04_space_tankl4x4_1: 4F (1.9, 1.1) (38690, -19397) space_tankl4x4 
Br04_04: 3F (1.2, 1.2) (39528, -67988) outpost 
Br04_05: 3D (2.1, 2.0) (-18641, -52736) space_mining01 
Br04_LD14_mplatform: 3D (2.0, 2.0) (-18875, -53295) mplatform 
Br04_space_industrial_3: 3D (2.1, 1.9) (-19291, -52616) space_industrial 
Br04_06: 6E (1.1, 2.1) (19100, 38500) dsy_comsat_planetdock 
Br04_06_planet: 6E (1.1, 2.0) (17734, 37580) fuchu_core 
Br06_02_wreck: 5E (2.8, 1.7) (11890, 33091) suprise_dsy_nl_gallicbs 
BR10_02: 6B (1.0, 2.1) (-88546, 36774) ga_battleship 
Br04_Stokes_miner_1: 4F (2.4, 2.9) (70570, -11570) Roid_Miner 
Br04_Stokes_miner_2: 4F (2.1, 2.9) (70111, -16236) Roid_Miner 
Br04_Stokes_miner_3: 4F (1.9, 2.9) (70003, -20320) Roid_Miner 
Br04_space_tankl4x4_2: 4F (2.1, 2.9) (70565, -16215) space_tankl4x4 
Br04_space_tankl4x4_3: 4F (2.1, 2.9) (70567, -16674) space_tankl4x4 
Br04_space_industrial_2: 4F (2.1, 2.9) (70098, -16448) space_industrial 
Br04_ast_solar_mineable_60_1: 4F (1.9, 2.9) (69853, -20327) ast_solar_mineable_60 
Br04_ast_solar_mineable_60_2: 4F (2.4, 2.9) (70574, -11423) ast_solar_mineable_60 
Br04_suprise_bw_fighter_1: 6D (1.7, 1.6) (-25288, 47727) suprise_bw_fighter 
Br04_surprise_bw_fighter_2: 3C (1.1, 2.9) (-38188, -70465) suprise_bw_fighter 
Br04_suprise_br_elite_01: 2D (2.5, 2.5) (-9832, -80133) suprise_br_elite 
Br04_suprise_br_elite_02: 3E (2.8, 2.2) (21480, -39825) suprise_br_elite 
Br04_suprise_br_elite_03: 4F (1.1, 2.7) (66118, -34829) suprise_br_elite 
Br04_suprise_br_elite_04: 5F (2.1, 1.4) (42800, 19136) suprise_br_elite 
Br04_suprise_br_fighter_01: 4D (2.5, 2.0) (-18001, -8401) suprise_br_fighter 
Br04_suprise_ku_elite_01: 3D (1.9, 2.9) (-1649, -56467) suprise_ku_elite 
Br04_suprise_ku_elite_02: 4G (1.3, 1.8) (86623, -31073) suprise_ku_elite 
Br04_suprise_ku_elite_03: 4C (1.8, 2.9) (-37925, -21803) suprise_ku_elite 
Br04_suprise_ku_elite_04: 2D (2.5, 1.2) (-32685, -80651) suprise_ku_elite 

[br05 BR Dublin 2.000000]
<跳跃>
BR New London: 4F (2.1, 1.6) (25774, -9336) jumpgate 
BR New London: 3E (2.0, 2.8) (18378, -29607) jumphole_red 
BR Leeds: 3D (2.2, 1.6) (-14000, -28000) jumphole_red 
BR Edinburgh: 4C (1.5, 2.2) (-28000, -15000) jumphole_red 
BR Poole (BR Police): 5C (2.8, 1.5) (-35000, 18000) jumphole_red 
EW Omega-49: 6C (2.6, 2.6) (-24000, 36000) jumphole_red 
<基地>
Br05_Sun: 5E (1.0, 1.0) (0, 0) sun_1000 
Br05_01: 4D (1.8, 2.5) (-5000, -12500) b_battleship 
Br05_03: 5E (2.9, 2.8) (17667, 18513) space_mining01 
Br05_space_industrial02_1: 5E (2.9, 2.7) (17126, 18882) space_industrial02 
Br05_space_industrial02_2: 5E (2.9, 2.7) (17136, 19139) space_industrial02 
Br05_dsy_quad_connector_01: 5E (2.9, 2.8) (17667, 18512) dsy_quad_connector 
Br05_large_transport_01: 5E (2.8, 2.8) (17667, 18312) large_transport 
Br05_04: 4E (2.4, 2.9) (18500, -6500) b_battleship 
Br05_05: 5C (3.0, 2.7) (-22554, 19664) dsy_asteroid_base01 
Br05_track_ring_2: 4D (1.9, 1.9) (-11036, -11380) track_ring 
Br05_track_ring_3: 4D (1.9, 1.8) (-12336, -10715) track_ring 
Br05_track_ring_4: 4D (2.0, 1.6) (-13557, -9898) track_ring 
Br05_track_ring_5: 4D (2.0, 1.5) (-14862, -9677) track_ring 
Br05_track_ring_6: 4D (2.0, 1.4) (-15719, -10339) track_ring 
Br05_track_ring_7: 4D (1.9, 1.4) (-16276, -10991) track_ring 
Br05_track_ring_8: 4D (1.8, 1.4) (-16117, -11919) track_ring 
Br05_track_ring_9: 4D (1.7, 1.4) (-16489, -12736) track_ring 
Br05_track_ring_10: 4D (1.6, 1.4) (-16257, -13908) track_ring 
Br05_track_ring_11: 4D (1.6, 1.4) (-15552, -14327) track_ring 
Br05_track_ring_12: 4D (1.5, 1.5) (-15082, -15008) track_ring 
Br05_track_ring_13: 4D (1.4, 1.5) (-14857, -15825) track_ring 
Br05_track_ring_14: 4D (1.4, 1.6) (-13942, -16158) track_ring 
Br05_track_ring_15: 4D (1.4, 1.7) (-13135, -16072) track_ring 
Br05_track_ring_16: 4D (1.4, 1.7) (-12758, -15511) track_ring 
Br05_track_ring_17: 4D (1.5, 1.8) (-12320, -14998) track_ring 
Br05_track_ring_18: 4D (1.5, 1.8) (-11580, -15134) track_ring 
Br05_track_ring_19: 4D (1.5, 1.9) (-11010, -14760) track_ring 
Br05_track_ring_20: 4D (1.5, 2.0) (-10437, -14519) track_ring 
Br05_track_ring_21: 4D (1.6, 2.0) (-10386, -13735) track_ring 
Br05_track_ring_22: 4D (1.7, 2.0) (-10240, -12599) track_ring 
Br05_telescope_1: 4D (1.9, 1.9) (-11032, -11382) telescope 
Br05_nav_buoy_2: 4D (1.8, 1.9) (-11181, -11667) nav_buoy 
Br05_nav_buoy_4: 4D (1.9, 1.9) (-11078, -11472) nav_buoy 
Br05_nav_buoy_6: 4D (1.9, 1.9) (-10972, -11266) nav_buoy 
Br05_nav_buoy_8: 4D (1.9, 1.9) (-10880, -11085) nav_buoy 
Br05_nav_buoy_9: 4D (1.8, 1.9) (-11159, -11647) nav_buoy 
Br05_nav_buoy_12: 4D (1.9, 1.9) (-11080, -11472) nav_buoy 
Br05_nav_buoy_14: 4D (1.9, 1.9) (-10972, -11267) nav_buoy 
Br05_nav_buoy_16: 4D (1.9, 1.9) (-10876, -11080) nav_buoy 
Br05_suprise_br_elite_1: 6D (1.2, 1.7) (-13018, 22292) suprise_br_elite 
Br05_suprise_pi_elite_1: 6E (2.1, 2.5) (15312, 30867) suprise_pi_elite 

[br06 BR Edinburgh 2.000000]
<跳跃>
BR Leeds: 4F (2.9, 2.4) (34475, -970) jumpgate 
BR Leeds: 3F (2.7, 2.2) (31516, -23373) jumphole_red 
BR Dublin: 5C (1.6, 2.0) (-30311, 5901) jumphole_red 
BR Orkney: 2E (2.6, 1.3) (3000, -44000) jumphole_light 
BW Tau-31: 3D (1.6, 1.3) (-16932, -33960) jumphole_light 
<基地>
Br06_Sun1: 5E (1.0, 1.0) (0, 0) sun_1000 
Br06_sun2: 1? (2.3, 2.2) (-127780, -67462) sun_1000 
Br06_planet_Gaia: 3E (3.0, 1.2) (2261, -20135) planet_earthgaia_1500 
Br06_planet_Ayr: 5E (2.6, 2.4) (14004, 15860) planet_ice_purple_1500 
Br06_01: 3E (1.5, 2.2) (12070, -34871) ga_battleship 
Br06_03: 3F (2.8, 1.4) (24498, -22438) miningbase_small_ice 
Br06_04: 5E (2.2, 2.5) (14905, 11568) space_mining01 
Br06_Perth_Roid_Miner: 5F (2.0, 1.0) (20026, 9739) Roid_Miner 
Br06_ast_ice_largeA_1: 3D (1.7, 1.5) (-15160, -32586) ast_ice_largeA 
Br06_ast_ice_largeA_2: 3D (1.8, 1.7) (-12620, -32033) ast_ice_largeA 
Br06_ast_ice_largeB_1: 3D (1.1, 1.5) (-15001, -38541) ast_ice_largeB 
Br06_ast_ice_largeB_2: 3C (1.6, 2.8) (-21761, -34175) ast_ice_largeB 
Br06_ast_ice_largeB_3: 3F (2.3, 2.3) (33028, -26852) ast_ice_largeB 
Br06_ast_ice_largeB_4: 3F (2.6, 1.8) (27562, -23675) ast_ice_largeB 
Br06_ast_ice_largeA_3: 3F (2.6, 1.0) (20241, -24378) ast_ice_largeA 
Br06_ast_ice_largeA_4: 3F (2.1, 1.1) (21435, -28753) ast_ice_largeA 
Br06_ast_solar_ice_60_1: 5F (2.0, 1.0) (20164, 9686) ast_solar_ice_60 
Br06_suprise_br_elite_01: 3C (2.9, 2.9) (-20887, -21455) suprise_br_elite 
BR10_01: 6C (1.7, 2.2) (-28306, 26943) depot 
BR10_planet_1: 6C (1.4, 2.5) (-25142, 24111) planet_icemntcld_2500 
BR09_03: 3C (1.1, 1.2) (-37700, -38700) space_police01 
BR09_solar_pnl: 3C (1.1, 1.2) (-37700, -38700) space_solar_pnl 

[br07 BR Newcastle 3.600000]
<跳跃>
BR New London: 7C (1.2, 2.5) (-45000, 75000) jumpgate 
BR Manchester: 6F (2.3, 1.5) (45000, 60000) jumphole_light 
BW Tau-31: 3D (1.1, 1.3) (-30000, -70000) jumphole_light 
IW Baffin (Zoners): 2E (2.8, 1.8) (14000, -75000) jumphole_light 
BW Tau-117: 4G (2.9, 2.0) (90000, -1000) jumphole_light 
<基地>
BR07_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 
BR07_planet_1: 2F (2.7, 1.7) (48260, -77125) planet_gasblucld_5000 
BR07_planet_3: 4C (1.7, 2.6) (-43584, -24079) planet_earthgrnice_3000 
BR07_planet_4: 4C (1.8, 2.2) (-50937, -22297) planet_crater_800 
BR07_planet_5: 5F (1.6, 1.6) (47000, 11000) planet_moonred_1500 
BR07_planet_6: 5D (2.8, 1.8) (-21500, 33000) planet_gasicecld_2000 
BR07_01: 4E (1.3, 2.1) (19800, -30300) b_battleship 
BR07_05: 4E (1.4, 2.2) (21735, -28752) space_factory02 
BR07_space_industrial_03: 4E (1.4, 2.2) (22370, -29504) space_industrial 
BR07_space_industrial_05: 4E (1.5, 2.2) (22076, -27843) space_industrial 
BR07_shipyard_01: 4E (1.4, 2.2) (22490, -29495) shipyard 
BR07_shipyard_02: 4E (1.4, 2.2) (22490, -29495) shipyard 
BR07_shipyard_03: 4E (1.5, 2.2) (22180, -27842) shipyard 
BR07_shipyard_04: 4E (1.5, 2.2) (22180, -27838) shipyard 
BR07_space_tankl2_01: 4E (1.4, 2.2) (21827, -28736) space_tankl2 
BR07_space_tankl2_02: 4E (1.4, 2.2) (21644, -28770) space_tankl2 
BR07_space_tankl2_03: 4E (1.4, 2.2) (21751, -28844) space_tankl2 
BR07_space_tankl2_04: 4E (1.4, 2.2) (21720, -28663) space_tankl2 
BR07_mplatform_01: 4E (1.4, 2.3) (22793, -28786) mplatform 
BR07_mplatform_02: 4E (1.4, 2.3) (22712, -28351) mplatform 
BR07_space_industrial_04: 4E (1.4, 2.3) (22753, -28571) space_industrial 
BR07_02: 3G (1.2, 2.9) (106332, -68924) outpost 
BR07_large_transport_01: 3G (1.1, 2.9) (106450, -69398) large_transport 
BR07_large_transport_02: 3G (1.1, 2.9) (106382, -69312) large_transport 
BR07_gas_collector_01: 3H (1.3, 1.1) (110329, -66246) gas_collector 
BR07_space_industrial_02: 3G (1.2, 2.9) (106884, -69020) space_industrial 
BR07_dyson_city_platform_01: 3H (1.2, 1.1) (109282, -69039) dyson_city_platform 
BR07_dyson_city_01: 3H (1.4, 1.1) (110572, -64039) dyson_city 
BR07_dyson_city_generator_01: 3G (1.2, 3.0) (107120, -69059) dyson_city_generator 
BR07_dyson_generator_01: 3H (1.2, 1.1) (109349, -69034) dyson_generator 
BR07_dyson_city_generator_02: 3G (1.6, 2.8) (104915, -61825) dyson_city_generator 
BR07_dyson_city_generator_03: 3H (1.1, 1.2) (112040, -70628) dyson_city_generator 
BR07_dyson_city_generator_04: 3H (1.5, 1.4) (116079, -63674) dyson_city_generator 
BR07_dyson_city_generator_05: 3H (1.8, 1.2) (112055, -57861) dyson_city_generator 
BR07_dyson_city_platform_02: 3G (1.4, 2.9) (105458, -65271) dyson_city_platform 
BR07_dyson_city_platform_03: 3H (1.3, 1.3) (113689, -66709) dyson_city_platform 
BR07_dyson_city_platform_04: 3H (1.6, 1.0) (108562, -60417) dyson_city_platform 
BR07_dyson_city_platform_05: 3H (1.6, 1.3) (113694, -61412) dyson_city_platform 
BR07_space_arch_chunk2a_01: 3H (1.2, 1.4) (115581, -69223) space_arch_chunk2a 
BR07_space_arch_chunk2b_01: 3G (1.2, 2.9) (105979, -67615) space_arch_chunk2b 
BR07_space_arch_chunk2a_02: 3H (1.7, 1.5) (116878, -59878) space_arch_chunk2a 
BR07_space_arch_chunk3a_01: 3G (1.8, 3.0) (107367, -57636) space_arch_chunk3a 
BR07_space_arch_chunk3b_01: 3H (1.4, 1.0) (108802, -65364) space_arch_chunk3b 
BR07_space_arch_chunk3c_01: 3H (1.5, 1.2) (112477, -62207) space_arch_chunk3c 
BR07_space_arch_chunk1b_02: 3H (1.3, 1.5) (117481, -66443) space_arch_chunk1b 
BR07_space_arch_chunk3e_01: 3H (1.0, 1.1) (109194, -71354) space_arch_chunk3e 
BR07_space_arch_chunk1a_02: 3G (1.5, 2.6) (101268, -63882) space_arch_chunk1a 
BR07_03: 4C (1.9, 2.9) (-38686, -18981) smallstation1 
BR07_04: 5D (2.9, 1.6) (-25000, 35000) outpost 
BR07_space_industrial_01: 5D (2.9, 1.6) (-25000, 35000) space_industrial 
BR07_06: 3G (1.4, 2.6) (101679, -64097) b_battleship 
BR07_07: 3F (1.1, 1.9) (51700, -71000) smallstation1_old 
BR07_08: 3C (1.7, 1.3) (-66000, -60000) miningbase_small_ice 
BR07_09: 5C (1.9, 1.1) (-70700, 15500) military_icebase1 
BR09_01: 5C (1.9, 1.1) (-71000, 16050) miningbase_ice_block 
BR09_01_dsy_fightermoor_01: 5C (1.9, 1.1) (-70879, 15845) dsy_fightermoor 
BR07_10: 5F (1.7, 1.4) (43000, 12500) largestation1_old 
BR07_11: 6E (1.7, 1.8) (15000, 48000) miningbase_small_ice 
Br04_07: 4C (1.9, 2.9) (-37800, -20000) luxury_liner 
Bw10_03: 4C (1.8, 2.9) (-37500, -22000) b_battleship 
BR07_br_debris_eng_01: 4G (1.9, 2.5) (98532, -20173) br_debris_eng 
BR07_suprise_br_elite_01: 4G (1.9, 2.4) (96644, -20356) suprise_br_elite 
BR07_suprise_br_elite_02: 4G (2.1, 2.7) (102250, -16849) suprise_br_elite 
BR07_suprise_br_elite_03: 4G (1.6, 2.5) (99899, -24336) suprise_br_elite 
BR07_suprise_br_elite_08: 4G (1.9, 2.6) (100877, -20482) suprise_br_elite 
BR07_suprise_br_elite_04: 5F (2.8, 2.5) (62139, 32431) suprise_br_elite 
